upc_code,event,customer_type,sim_type,title_fa,title_en,description_fa,description_en,offer_code
O14592,ngmi_referral,postpaid,fd,هدیه معرفی ایرانسل من به دوستان,Referring friend gift,بسته ۱۰ گیگ ۳ روزه رایگان,10GB Free data for 3 days,
O15635,first_recharge,postpaid,fd,,,,,
O17955,churn_curb_30_90,postpaid,fd,هدیه بازگشت به برنامه,Churn gift,,,
O18751,first_transaction,postpaid,fd,هدیه اولین خرید,First purchase gift,بسته ۵ گیگ رایگان,5GB free data,
O19186,regional_offer,postpaid,fd,هدیه خرید,Purchase gift,,,
O20008,first_login,postpaid,fd,هدیه ورود به برنامه,Login gift,بسته ۱ روزه رایگان,1GB free data,
O14591,ngmi_referral,prepaid,fd,هدیه معرفی ایرانسل من به دوستان,Referring friend gift,بسته ۱۰ گیگ ۳ روزه رایگان,10GB Free data for 3 days,
O15634,first_recharge,prepaid,fd,,,,,
O17956,churn_curb_30_90,prepaid,fd,هدیه بازگشت به برنامه,Churn gift,,,
O18750,first_transaction,prepaid,fd,هدیه اولین خرید,First purchase gift,بسته ۵ گیگ رایگان,5GB free data,
O19185,regional_offer,prepaid,fd,هدیه خرید,Purchase gift,,,
O20007,first_login,prepaid,fd,هدیه ورود به برنامه,Login gift,بسته ۱ روزه رایگان,1GB free data,
O14592,churn_curb_30_90,postpaid,td,هدیه بازگشت به برنامه,Churn gift,,,
O14592,ngmi_referral,postpaid,td,هدیه معرفی ایرانسل من به دوستان,Referring friend gift,بسته ۱۰ گیگ ۳ روزه رایگان,10GB Free data for 3 days,
O15635,first_recharge,postpaid,td,,,,,
O18751,first_transaction,postpaid,td,هدیه اولین خرید,First purchase gift,بسته ۵ گیگ رایگان,5GB free data,
O19186,regional_offer,postpaid,td,هدیه خرید,Purchase gift,,,
O20008,first_login,postpaid,td,هدیه ورود به برنامه,Login gift,بسته ۱ روزه رایگان,1GB free data,
O14591,churn_curb_30_90,prepaid,td,هدیه بازگشت به برنامه,Churn gift,__ ___ _______ ______ _ ____,10GB Free data for 3days,
O14591,ngmi_referral,prepaid,td,هدیه معرفی ایرانسل من به دوستان,Referring friend gift,بسته ۱۰ گیگ ۳ روزه رایگان,10GB Free data for 3 days,
O15634,first_recharge,prepaid,td,,,,,
O18750,first_transaction,prepaid,td,هدیه اولین خرید,First purchase gift,بسته ۵ گیگ رایگان,5GB free data,
O19185,regional_offer,prepaid,td,هدیه خرید,Purchase gift,,,
O20007,first_login,prepaid,td,هدیه ورود به برنامه,Login gift,بسته ۱ روزه رایگان,1GB free data,

